ID,abbreviation,name,Zip,latitude,longitude,TSR,logo,newscasts,localstories,Sum of NPR One Large Logo,Sum of NPR One Display Name,Sum of Station Hello,Sum of Pledge URL,Sum of Pledge Audio,Sum of *ANY* Sonic ID,cume,npronelogo
430,WHRV-FM,WHRV,23508,36.89084,-76.3116235,6225188,station_logos/whrv_fm.gif,1,1,1,1,0,0,0,0,21323,npr_one_logos/whrv_fm.png
434,ILPR,Interlochen Public Radio,49643,44.6433789,-85.8281458,,station_logos/ilpr.gif,0,0,0,0,0,0,0,0,29584,
442,WITF-FM,WITF,17111,40.2700804,-76.7913558,2035687,station_logos/witf_fm.gif,1,0,1,2,0,0,0,0,16504,npr_one_logos/witf_fm.png
443,TSPR,Tri States Public Radio,61455,40.4294973,-90.6393702,,station_logos/tspr.gif,0,1,1,1,0,1,0,0,4308,npr_one_logos/tspr.png
446,WJAB-FM,WJAB,35762,34.7715438,-86.5962,,station_logos/wjab_fm.gif,0,0,0,0,0,0,0,0,0,
447,WJCT-FM,WJCT 89.9 FM Jacksonville,32202,30.3276337,-81.6555607,2094876,station_logos/wjct_fm.gif,0,1,1,1,1,0,0,1,11467,npr_one_logos/wjct_fm.png
448,GPB,Georgia Public Broadcasting,30318,33.7946333,-84.448772,4102056,station_logos/gpb.gif,0,1,1,19,0,0,0,0,1096,npr_one_logos/gpb.png
460,WJSU-FM,WJSU,,32.282195,-90.229156,,station_logos/wjsu_fm.gif,0,0,0,0,0,0,0,0,0,
461,WKAR,WKAR Radio,48824,42.724305,-84.4796047,3628924,station_logos/wkar.gif,0,1,1,0,0,0,0,0,14565,npr_one_logos/wkar.png
466,WKMS-FM,WKMS,,36.618971,-88.304491,,station_logos/wkms_fm.gif,1,0,1,1,0,0,0,0,10880,npr_one_logos/wkms_fm.png
467,WKNO-FM,WKNO,38016,35.1816448,-89.7661527,1587314,station_logos/wkno_fm.gif,0,1,1,0,0,0,0,0,9400,npr_one_logos/wkno_fm.png
471,WKSU-FM,WKSU,,41.15375,-81.35127,,station_logos/wksu_fm.gif,0,1,1,1,0,0,0,0,0,npr_one_logos/wksu_fm.png
475,WPB,WKU Public Radio,42101,37.1184213,-86.5400674,1917329,,0,0,1,0,0,0,0,0,4383,
480,WLRH-FM,WLRH 89.3 FM/HD3,35899,34.7354685,-86.6513478,836269,station_logos/wlrh_fm.gif,1,0,0,1,0,0,0,0,5290,
481,WLRN,WLRN 91.3FM,33132,25.7700009,-80.1679758,7025220,station_logos/wlrn.gif,1,1,1,2,0,2,0,0,38433,npr_one_logos/wlrn.png
486,SCERN,South Carolina Public Radio,29201,33.9873389,-81.0368211,1308507,station_logos/scern.gif,1,1,1,9,9,9,9,9,21495,npr_one_logos/scern.png
495,MPBN,MPBN,4401,44.8504122,-68.8618617,5991073,station_logos/mpbn.gif,1,1,1,8,0,0,0,0,30348,npr_one_logos/mpbn.png
502,WMFE-FM,WMFE,32817,28.5880175,-81.2408689,4298220,station_logos/wmfe_fm.gif,1,1,1,1,0,0,0,0,12994,npr_one_logos/wmfe_fm.png
505,WMKY-FM,Morehead State Public Radio,40351,38.2563616,-83.3789389,762775,,0,0,0,0,0,0,0,0,1693,
508,WMOT-FM,WMOT,,35.843456,-86.37066,,,0,0,0,0,0,0,0,0,2348,
510,WMPN-FM,Mississippi Public Broadcasting,,32.373031,-90.126101,,station_logos/wmpn_fm.gif,0,0,1,8,0,0,0,0,0,npr_one_logos/wmpn_fm.png
518,WMRA-FM,WMRA,22801,38.4049904,-78.8722341,1422190,station_logos/wmra_fm.gif,0,1,1,1,0,0,0,0,0,npr_one_logos/wmra_fm.png
523,WMUK-FM,WMUK,49008,42.2609411,-85.612648,1420527,station_logos/wmuk_fm.gif,0,1,1,1,0,0,0,0,3097,npr_one_logos/wmuk_fm.png
525,WNCW-FM,WNCW,,35.356155,-81.9262,,station_logos/wncw_fm.gif,0,0,0,0,0,0,0,0,30552,
528,NOPR,Northern Public Radio,60115,41.89322,-88.7686382,1607130,station_logos/nopr.gif,1,1,1,1,5,1,0,1,11204,
533,WNIN-FM,WNIN,47708,37.9734239,-87.575423,464750,station_logos/wnin_fm.gif,0,0,0,0,0,0,1,0,2420,
544,PR90,"Public Radio 90, WNMU",49855,46.5477714,-87.3956241,,station_logos/pr90.gif,0,0,0,0,0,0,0,0,3537,
552,WNYC,WNYC Radio,10013,40.7217861,-74.0094471,,station_logos/wnyc.gif,1,1,1,3,1,0,1,0,598681,npr_one_logos/wnyc.png
556,WOI,Iowa Public Radio,50312,41.5774667,-93.6775362,6483124,station_logos/woi.gif,1,1,1,12,0,1,1,0,39944,npr_one_logos/woi.png
560,WOSU,89.7 NPR News,43210,39.9990626,-83.0173386,3072723,station_logos/wosu.gif,1,1,1,2,2,1,1,2,0,npr_one_logos/wosu.png
567,WOUB,WOUB Radio Network,45701,39.3221839,-82.1060683,,station_logos/woub.gif,0,0,0,0,0,0,0,0,5751,
574,WPPB,WPPB,11969,40.88,-72.39,,,0,0,0,0,0,0,0,0,3461,
577,WPLN,Nashville Public Radio,37228,36.1961749,-86.8044586,,station_logos/wpln.gif,1,1,0,2,2,0,1,2,16554,
582,WPRL-FM,WPRL,,31.850872,-91.173699,,,0,0,0,0,0,0,0,0,0,
583,WPSU,WPSU,16802,40.8084075,-77.8638835,1300708,station_logos/wpsu.gif,1,1,1,1,0,1,0,0,8732,
587,WQCS-FM,WQCS,34981,27.3980151,-80.3714326,1164098,station_logos/wqcs_fm.gif,0,0,1,0,0,0,0,0,5779,npr_one_logos/wqcs_fm.png
591,WQLN,WQLN,16509,42.0494171,-80.0423151,,station_logos/wqln.gif,0,0,0,0,0,0,0,0,0,
594,WRKF,WRKF,70808,30.4192451,-91.1448981,1065335,station_logos/wrkf.gif,1,1,1,2,0,1,1,0,7572,npr_one_logos/wrkf.png
603,WRVO,WRVO,13126,43.4244918,-76.4794435,2621720,station_logos/wrvo.gif,0,1,1,2,0,0,0,0,30501,npr_one_logos/wrvo.png
608,WSCL-FM,Delmarva Public Radio,21802,38.3728233,-75.5935146,890333,station_logos/wscl_fm.gif,0,0,1,2,0,0,0,0,4834,npr_one_logos/wscl_fm.png
615,WSIU-FM,WSIU Public Radio,62901,37.7277751,-89.2148386,1531216,station_logos/wsiu_fm.gif,1,1,1,3,0,0,0,0,1104,npr_one_logos/wsiu_fm.png
618,WSKG,WSKG Public Radio,13902,42.1017651,-75.9065783,1895195,station_logos/wskg.gif,1,1,1,2,0,3,0,1,8670,npr_one_logos/wskg.png
625,NCPR,NCPR,13617,44.5971465,-75.2054607,,station_logos/ncpr.gif,1,0,1,16,0,0,0,0,14452,npr_one_logos/ncpr.png
637,PRE,Public Radio East: News & Classical Network,28562,35.1217955,-77.1715228,,,0,0,0,0,0,0,0,0,5081,
641,TROY-PR,Troy Public Radio,36082,31.8020952,-85.9521694,,station_logos/troy_pr.gif,0,0,0,3,0,0,0,0,4600,
645,AZPR,KNAU - Arizona Public Radio,86011,35.1905403,-111.653403,,,0,0,0,0,0,0,0,0,12790,
650,WUFT-FM,WUFT,32611,29.6130239,-82.371937,2637569,station_logos/wuft_fm.gif,0,0,0,1,0,0,0,0,0,
653,WUIS-FM,NPR Illinois 91.9 UIS,62703,39.764682,-89.6345796,1935722,station_logos/wuis_fm.gif,0,1,1,1,0,1,0,0,0,npr_one_logos/wuis_fm.png
655,WUKY-FM,WUKY,,38.019614,-84.499449,,station_logos/wuky_fm.gif,1,0,1,1,0,0,0,0,5095,npr_one_logos/wuky_fm.png
661,WUNC-FM,North Carolina Public Radio,27517,35.8263369,-79.0419053,9817559,station_logos/wunc_fm.gif,1,1,1,1,0,1,0,0,61583,npr_one_logos/wunc_fm.png
665,MR,Michigan Radio,48103,42.2475863,-83.8260884,7043346,station_logos/mr.gif,1,1,1,3,4,4,1,4,85932,npr_one_logos/mr.png
669,WUOT-FM,WUOT,37996,35.9433558,-83.9386991,1923015,station_logos/wuot_fm.gif,0,1,0,0,0,0,0,0,10373,
670,WURC-FM,WURC,,34.728903,-89.512008,,,0,0,0,0,0,0,0,0,0,
671,WUSF-FM,WUSF,33620,28.0634666,-82.4129729,6560483,station_logos/wusf_fm.gif,0,1,1,1,0,0,0,0,40871,npr_one_logos/wusf_fm.png
672,WUTC-FM,WUTC,37403,35.0496723,-85.2955242,1364059,,0,0,0,0,0,0,0,0,5291,
